Name,Difficulty_x,Edge_Count,CNN_Score,Time_Minutes,Image_File,Creator,Image,Description,Difficulty_y,Time,Paper Shape,Sheets,Image_GitHub,time_minutes,Difficulty_Numeric,Predicted_Complexity,PCA1,PCA2,Keyword_Score
Displacer beast,4,2157,0.0620940264533547,160,DSC03448-export-900x900.jpg,Miguel F. Romero,https://origami-database.com/wp-content/uploads/DSC03448-export-900x900.jpg,Six-legged catlike creature with two large tentacles sprouting from its back.,hard,2 hours 40 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03448-export-900x900.jpg,160,4,3.2736416,-0.1417184,-0.02321927,0.88259244
Heart with bow,1,4307,0.0577395091337316,9,DSC03451-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03451-export-900x900.jpg,Heart symbol with reverse-colored bow on top.,easy,9 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03451-export-900x900.jpg,9,1,1.526041,0.3273406,-0.10543123,0.29076308
Staff,2,605,0.0113815128102021,13,DSC03429-export-900x900.jpg,John Montroll,https://origami-database.com/wp-content/uploads/DSC03429-export-900x900.jpg,Abstract staff topped with a reverse-colored tip.,moderate,13 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03429-export-900x900.jpg,13,2,2.0881088,0.2538579,0.07011096,0.57611644
The Flying Carpet,1,875,0.022651169720818,4,DSC03438-export-scaled.jpg,Akira Yoshizawa,https://origami-database.com/wp-content/uploads/DSC03438-export-scaled.jpg,Airplane that can be thrown.,easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03438-export-scaled.jpg,4,1,1.1373248,0.2734071,0.14676674,0.41177207
Carp banner,1,1606,0.0249616376091452,7,DSC03427-export-900x900.jpg,Akira Yoshizawa,https://origami-database.com/wp-content/uploads/DSC03427-export-900x900.jpg,Abstract fish with open mouth and two pectoral fins.,easy,7 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03427-export-900x900.jpg,7,1,0.9705275,0.032343313,0.11094964,0.5677734
The Glider,1,1233,0.0360353178136488,4,DSC03433-export-900x900.jpg,Akira Yoshizawa,https://origami-database.com/wp-content/uploads/DSC03433-export-900x900.jpg,Airplane that can be thrown.,easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03433-export-900x900.jpg,4,1,1.5036855,0.22743592,0.17056055,0.35960642
Sword,2,1006,0.0154814776252297,11,DSC03431-export-900x900.jpg,John Montroll,https://origami-database.com/wp-content/uploads/DSC03431-export-900x900.jpg,Abstract sword with reverse-colored blade and upward crossguard.,moderate,11 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03431-export-900x900.jpg,11,2,1.5624504,0.26603007,0.099933244,0.21737301
Tiger,3,3818,0.0430512372185202,51,DSC03424-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03424-export-900x900.jpg,Abstract tiger with reverse-colored stripes and nose.,intermediate,51 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03424-export-900x900.jpg,51,3,2.772979,-0.03737004,-0.18505763,0.54755193
Mammoth,3,2271,0.0429619463752297,38,DSC03422-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03422-export-900x900.jpg,Abstract mammoth model with large reverse-colored thusks.,intermediate,38 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03422-export-900x900.jpg,38,3,3.0132072,-0.120362565,0.07976289,0.5462833
Rhinoceros,2,1751,0.0300429759306066,27,DSC03420-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03420-export-900x900.jpg,Abstract rhino with distinctive head and large horn.,moderate,27 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03420-export-900x900.jpg,27,2,1.8628803,-0.20792006,-0.03517293,0.45330274
Merino Sheep,2,2457,0.0473321353687959,22,DSC03415-export-900x900.jpg,Donya Quick,https://origami-database.com/wp-content/uploads/DSC03415-export-900x900.jpg,Sheep with horns and reverse-colored head.,moderate,22 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03415-export-900x900.jpg,22,2,2.4255586,0.012530585,-0.18610102,0.68948895
Baby Gorilla,2,2745,0.0410775756835937,22,DSC03383-export-900x900.jpg,Akira Yoshizawa,https://origami-database.com/wp-content/uploads/DSC03383-export-900x900.jpg,Standing ape model with distinctive head and pose.,moderate,22 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03383-export-900x900.jpg,22,2,1.8087344,-0.20098688,-0.20752954,0.8820945
Phantom,5,5385,0.0805459056181066,275,DSC03405-export-900x900.jpg,Li Changqi,https://origami-database.com/wp-content/uploads/DSC03405-export-900x900.jpg,Large conch shell with reverse-colored wave coming out of it featuring a small boat.,complex,4 hours 35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03405-export-900x900.jpg,275,5,4.4176188,0.07138857,0.14726228,0.46238288
Tonosama grasshopper,3,4231,0.046131430233226,65,DSC03389-export-900x900.jpg,Mushitarou,https://origami-database.com/wp-content/uploads/DSC03389-export-900x900.jpg,"Grasshopper with six independent legs, two antennae and distinctive shape.",intermediate,1 hour 5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03389-export-900x900.jpg,65,3,2.90205,-0.075839505,0.025749844,0.6155527
Ax,2,1029,0.0420438699161305,9,DSC03392-export-900x900.jpg,John Montroll,https://origami-database.com/wp-content/uploads/DSC03392-export-900x900.jpg,Simple axe with reverse-colored blade.,moderate,9 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03392-export-900x900.jpg,9,2,1.9047743,0.22447805,0.06585053,0.283584
Giant Tortoise,3,3242,0.046793643727022,44,DSC03385-export-900x900.jpg,Imai Yudai,https://origami-database.com/wp-content/uploads/DSC03385-export-900x900.jpg,Standing tortoise with large shield and raised head.,intermediate,44 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03385-export-900x900.jpg,44,3,2.9213068,-0.111438766,-0.08063179,0.42821008
Sea Turtle,2,2309,0.0389130895278033,18,DSC03371-export-900x900.jpg,Akira Yoshizawa,https://origami-database.com/wp-content/uploads/DSC03371-export-900x900.jpg,Three-dimentional turtle with distinctive flippers.,moderate,18 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03371-export-900x900.jpg,18,2,2.2460253,-0.10250707,0.02221564,0.37175125
Singer,2,2485,0.0467109769933363,40,DSC03379-export-900x900.jpg,Peter Stein,https://origami-database.com/wp-content/uploads/DSC03379-export-900x900.jpg,Cowled humanoid figure with a book in one hand.,moderate,40 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03379-export-900x900.jpg,40,2,2.40478,-0.008187783,-0.01695912,0.664402
Velociraptor,3,2490,0.0458286240521599,63,DSC03381-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03381-export-900x900.jpg,"Bipedal dinosaur model with reverse-colored head, feet and arm feathers.",intermediate,1 hour 3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03381-export-900x900.jpg,63,3,2.7683105,-0.37967652,0.06440157,0.43651545
Skull Coin,3,6924,0.0992141185087316,24,DSC03332-export-900x900.jpg,Mi Wu,https://origami-database.com/wp-content/uploads/DSC03332-export-900x900.jpg,Octogonal flat model with a reverse-colored skull symbol.,intermediate,24 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03332-export-900x900.jpg,24,3,2.3821526,-0.008449697,0.10957936,0.37077764
Deer,3,2763,0.0484897748161764,55,DSC03329-export-900x900.jpg,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03329-export-900x900.jpg,Standing deer featuring antlers with six points.,intermediate,55 minutes,1:2 rectangle,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03329-export-900x900.jpg,55,3,2.787585,0.13009463,-0.103571974,0.5050582
Lady,4,2947,0.0592926922966452,144,DSC03328-export-900x900.jpg,Mario Adrados Netto,https://origami-database.com/wp-content/uploads/DSC03328-export-900x900.jpg,Winged female figure with long skirt.,hard,2 hours 24 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03328-export-900x900.jpg,144,4,3.6685557,0.16166753,-0.08842344,0.3635755
Ammonite,2,3882,0.0910055362477022,29,DSC03312-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03312-export-900x900.jpg,Segmented shell with four reverse-colored tentacles.,moderate,29 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03312-export-900x900.jpg,29,2,2.3522415,0.005555656,0.09663157,0.5510306
Dandelion,2,3422,0.0398100550034467,25,DSC03309-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03309-export-900x900.jpg,Flower on stem with reverse-colored petals.,moderate,25 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03309-export-900x900.jpg,25,2,2.5516334,0.2764931,-0.0046922723,0.37405217
Raccoon,3,3394,0.0759550565831801,41,DSC03315-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03315-export-900x900.jpg,"Sitting racoon with distinctive reverse-colored snout, ears and bands on its tail.",intermediate,41 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03315-export-900x900.jpg,41,3,2.8330133,-0.18397728,-0.12078075,0.56701297
Hedgehog,3,3115,0.0708987426757812,50,DSC03301-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03301-export-900x900.jpg,"Standing hedgehog with reverse-colored head and feet, including a segmented back featuring quill-like motif.",intermediate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03301-export-900x900.jpg,50,3,3.092268,-0.047032427,-0.19392681,0.7916652
Crab,3,3607,0.0506407793830422,35,DSC03292-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03292-export-900x900.jpg,Eight-legged crab with two large claws.,intermediate,35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03292-export-900x900.jpg,35,3,2.713099,-0.036185414,0.11507567,0.7390327
Zebra,3,1770,0.0451461073931525,40,DSC03290-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03290-export-900x900.jpg,"Standing zebra with reverse-colored nose, mane, tail and three stripes on its back.",intermediate,40 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03290-export-900x900.jpg,40,3,2.9804065,-0.06713105,-0.05446644,0.3628592
Clownfish,3,1730,0.0293494729434742,38,DSC03297-export-scaled.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03297-export-scaled.jpg,Fish with reverse-colored stripes.,intermediate,38 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03297-export-scaled.jpg,38,3,2.6959746,-0.022920039,0.05742943,0.5492063
Toad/frog,3,4039,0.0413729678883272,54,DSC03282-export-900x900.jpg,Riccardo Foschi,https://origami-database.com/wp-content/uploads/DSC03282-export-900x900.jpg,"Sitting frog (or toad) model with reverse-colored eyes and jaw, featuring three digits on its front toes.",intermediate,54 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03282-export-900x900.jpg,54,3,3.050578,-0.27012458,-0.047741376,0.51971304
Unicorn,3,2698,0.0477887501436121,57,DSC03287-export-900x900.jpg,Mario Adrados Netto,https://origami-database.com/wp-content/uploads/DSC03287-export-900x900.jpg,Standing unicorn with large head and twisted horn.,intermediate,57 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03287-export-900x900.jpg,57,3,2.8135734,-0.120423466,-0.22365957,0.6152415
Satyr,4,2786,0.045003267176011,78,DSC03193-export-900x900.jpg,José Aníbal Voyer Iniesta,https://origami-database.com/wp-content/uploads/DSC03193-export-900x900.jpg,Standing goat-like humanoid with reverse-colored horns.,hard,1 hour 18 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03193-export-900x900.jpg,78,4,3.9509416,-0.13808204,-0.14616425,0.627419
Ancient Dragon,5,3781,0.0622248212028952,590,DSC03255-export-900x900.jpg,Satoshi Kamiya,https://origami-database.com/wp-content/uploads/DSC03255-export-900x900.jpg,"Dragon with eight large spikes on its head, large wings, segmented tail and four talons with four digits each.",complex,9 hours 50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03255-export-900x900.jpg,590,5,4.631013,-0.16118544,0.039737914,1.1559886
Bear with salmon,2,2294,0.0459472117704503,33,DSC03166-export.jpg,Madiyar Amerkeshev,https://origami-database.com/wp-content/uploads/DSC03166-export.jpg,Abstract sitting bear holding a reverse-colored fish in its arms.,moderate,33 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03166-export.jpg,33,2,1.987253,0.047904808,-0.112599514,0.4916841
Lantern,1,1712,0.015282413258272,3,DSC03173-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03173-export-900x900.jpg,Traditional lantern with octagonal-shaped inside.,easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03173-export-900x900.jpg,3,1,1.1240681,0.3518879,0.12039615,0.3412301
Giant Squid,3,1990,0.0439016364602481,98,DSC03165-export-900x900.jpg,John Szinger,https://origami-database.com/wp-content/uploads/DSC03165-export-900x900.jpg,Cephalopod with two large and eight smaller tentacles and distinctive fin.,intermediate,1 hour 38 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03165-export-900x900.jpg,98,3,2.8032382,-0.06647555,0.080749504,0.4922927
Cuttlefish,3,3493,0.0795924287683823,40,DSC03161-export-900x900.jpg,John Szinger,https://origami-database.com/wp-content/uploads/DSC03161-export-900x900.jpg,"Three-dimentional cuttlefish with reverse-colored eye and underside, featuring eight tentacles.",intermediate,40 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03161-export-900x900.jpg,40,3,2.8133676,-0.02299897,0.08567916,0.54726124
Axolotl,2,2987,0.0337189797794117,25,DSC03149-export-900x900.jpg,kaaakun,https://origami-database.com/wp-content/uploads/DSC03149-export-900x900.jpg,Amphibian with reverse-colored external gills.,moderate,25 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03149-export-900x900.jpg,25,2,2.1165547,-0.12191442,-0.123601265,0.5148649
Sphinx,3,3360,0.0405442181755514,88,DSC03153-export-900x900.jpg,José Aníbal Voyer Iniesta,https://origami-database.com/wp-content/uploads/DSC03153-export-900x900.jpg,Sitting lion-like creature with abstract face.,intermediate,1 hour 28 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03153-export-900x900.jpg,88,3,3.0043764,-0.14906064,-0.059209738,0.6311561
Yin Yang Crane,2,3337,0.052204428280101,18,DSC03147-export-900x900.jpg,Kevin Hutson,https://origami-database.com/wp-content/uploads/DSC03147-export-900x900.jpg,"Traditional crane with one side of the model reverse-colored, with a dot on each wing in the inverted color.",moderate,18 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03147-export-900x900.jpg,18,2,2.1779945,0.24023739,-0.14058104,0.5888957
Rowlet,2,5423,0.0663472972196691,27,DSC03157-export-900x900.jpg,Paper Ph2,https://origami-database.com/wp-content/uploads/DSC03157-export-900x900.jpg,Sitting owl-like Pokémon with round body.,moderate,27 minutes,Square,2 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03157-export-900x900.jpg,27,2,2.0304554,0.10433951,-0.05245954,0.3860328
Lambeosaurus,3,2411,0.0417103307387408,30,DSC03143-export.jpg,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC03143-export.jpg,Quadrupedal dinosaur with distinctive cranial crest.,intermediate,30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03143-export.jpg,30,3,2.7492938,-0.3999824,0.30886868,0.6684134
Mephistopheles,4,5133,0.0836022769703584,209,DSC03137-export-900x900.jpg,Mario Adrados Netto,https://origami-database.com/wp-content/uploads/DSC03137-export-900x900.jpg,"Standing humanoid devil with horned head, large wings and forked tail.",hard,3 hours 29 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03137-export-900x900.jpg,209,4,3.7862518,-0.20502384,-0.17170852,0.92660576
Frog,3,3363,0.0452760045668658,74,DSC03125-export-900x900.jpg,John Szinger,https://origami-database.com/wp-content/uploads/DSC03125-export-900x900.jpg,Amphibian with distinctive legs and hands and feet ending in three digits.,intermediate,1 hour 14 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03125-export-900x900.jpg,74,3,3.3318868,-0.2755093,-0.07165909,0.8128976
Centaur,3,4282,0.0723441987879136,90,DSC03133-export-900x900.jpg,Mario Adrados Netto,https://origami-database.com/wp-content/uploads/DSC03133-export-900x900.jpg,"Creature with muscled, reverse-colored upper body of a humanoid and lower body of a horse.",intermediate,1 hour 30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03133-export-900x900.jpg,90,3,3.0458097,-0.22682424,-0.12080735,0.5806664
Butterfly,4,1634,0.0161339613970588,45,DSC03122-export-900x900.jpg,John Szinger,https://origami-database.com/wp-content/uploads/DSC03122-export-900x900.jpg,Winged insect with six legs and short antennae.,hard,45 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03122-export-900x900.jpg,45,4,3.37776,0.06589628,-0.090345934,0.8416192
Wizard,4,4773,0.0459846227309283,93,DSC03118-export-900x900.jpg,José Aníbal Voyer Iniesta,https://origami-database.com/wp-content/uploads/DSC03118-export-900x900.jpg,"Humanoid figure with arms stretched, wearing a robe and pointy hat.",hard,1 hour 33 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03118-export-900x900.jpg,93,4,3.5461183,0.019437945,-0.054596774,0.49537328
Lean-To,3,1546,0.038451986873851,26,DSC03115-export-900x900.jpg,John Szinger,https://origami-database.com/wp-content/uploads/DSC03115-export-900x900.jpg,Shelter with sloped roof and single opening.,intermediate,26 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03115-export-900x900.jpg,26,3,2.734125,0.2951529,0.114001915,0.2439702
Narwhal,2,1695,0.0310582598517922,26,DSC03111-export-900x900.jpg,John Szinger,https://origami-database.com/wp-content/uploads/DSC03111-export-900x900.jpg,"Whale with long, curved reverse-colored thusk.",moderate,26 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03111-export-900x900.jpg,26,2,1.9507828,-0.062288295,0.009501638,0.27990186
Lizard,4,2081,0.0325585219439338,84,DSC03114-export-3000x3000.jpg,John Szinger,https://origami-database.com/wp-content/uploads/DSC03114-export-3000x3000.jpg,Lizard with arms and legs with three digits.,hard,1 hour 24 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03114-export-3000x3000.jpg,84,4,2.9619448,-0.2672662,0.09095877,0.6778071
Cerberus,3,3163,0.0570635806812959,43,DSC03109-export.jpg,Mario Adrados Netto,https://origami-database.com/wp-content/uploads/DSC03109-export.jpg,Three-headed dog with curved tail and thin legs.,intermediate,43 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03109-export.jpg,43,3,2.695305,-0.05585461,-0.2152778,0.6379028
Piranha Fish,3,2582,0.0418376069910386,17,DSC03106-export.jpg,Alexander Kurth,https://origami-database.com/wp-content/uploads/DSC03106-export.jpg,"Stylized, flat piranha fish.",intermediate,17 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03106-export.jpg,17,3,3.1016805,0.03026858,0.060634006,0.38187125
Fire breathing dragon,2,2572,0.0507067153033088,50,DSC03102-export-900x900.jpg,Mathieu Gueros,https://origami-database.com/wp-content/uploads/DSC03102-export-900x900.jpg,"Standing, bulky dragon with small wings that breaths fire from its maw.",moderate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03102-export-900x900.jpg,50,2,2.4832168,0.03470999,-0.10091248,1.0001373
You Are Always In My Heart,2,1673,0.0203127872242647,14,DSC03107-export-900x900.jpg,Andrey Lukyanov,https://origami-database.com/wp-content/uploads/DSC03107-export-900x900.jpg,Hearth symbol within a reverse-colored heart symbol.,moderate,14 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03107-export-900x900.jpg,14,2,1.6973355,0.3268514,-0.04134254,0.22488043
Scarecrow (Edward Bird-hands),3,3291,0.0509690228630514,62,DSC03092-export-900x900.jpg,Alec Fehl,https://origami-database.com/wp-content/uploads/DSC03092-export-900x900.jpg,Standing humanoid with birds for hands.,intermediate,1 hour 2 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03092-export-900x900.jpg,62,3,3.1395712,0.025072474,-0.18020764,0.41290435
Kitty,2,2678,0.0318643906537224,11,DSC03099-export-900x900.jpg,Jens Kober,https://origami-database.com/wp-content/uploads/DSC03099-export-900x900.jpg,Sitting abstract cat model.,moderate,11 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03099-export-900x900.jpg,11,2,1.5826089,0.1411183,-0.014966904,0.68942606
Crocodile,3,2027,0.0296311322380514,28,DSC03098-export-900x900.jpg,Mathieu Gueros,https://origami-database.com/wp-content/uploads/DSC03098-export-900x900.jpg,Reptile with reverse-colored teeth and eyes.,intermediate,28 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03098-export-900x900.jpg,28,3,2.846657,-0.2616832,-0.047952805,0.54411125
Sailfish,2,1712,0.0234282908720128,28,DSC03091-export-3000x3000.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03091-export-3000x3000.jpg,"Model with long bill, large dorsal fin and reverse-colored underside.",moderate,28 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03091-export-3000x3000.jpg,28,2,2.1184514,-0.06292625,0.08100531,0.7761888
Long Legged Crane,3,3885,0.0523918600643382,24,DSC03094-export.jpg,Michael Shannon,https://origami-database.com/wp-content/uploads/DSC03094-export.jpg,"Bird on spindly, reverse-colored legs.",intermediate,24 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03094-export.jpg,24,3,3.0003526,-0.031376272,-0.30483475,0.8035813
Tetrahedron,2,1214,0.0190403837316176,7,DSC03082-export-900x900.jpg,Mark Bolitho,https://origami-database.com/wp-content/uploads/DSC03082-export-900x900.jpg,Triangular pyramid composed of four faces.,moderate,7 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03082-export-900x900.jpg,7,2,1.9246776,0.15499768,0.35401416,0.25722492
Diamond,2,4095,0.0442601282456341,14,DSC03088-export-900x900.jpg,Mark Bolitho,https://origami-database.com/wp-content/uploads/DSC03088-export-900x900.jpg,Radial-shaped diamond with eight sides.,moderate,14 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03088-export-900x900.jpg,14,2,1.9292897,0.35123646,0.2229857,0.30722114
Pyramid,2,1358,0.0184681432387408,8,DSC03079-export-900x900.jpg,Mark Bolitho,https://origami-database.com/wp-content/uploads/DSC03079-export-900x900.jpg,Square pyramid model.,moderate,8 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03079-export-900x900.jpg,8,2,2.0613694,0.20542148,0.27513626,0.24905182
Stegosaurus,2,2909,0.0433578311695772,27,DSC03076-export-900x900.jpg,Mark Bolitho,https://origami-database.com/wp-content/uploads/DSC03076-export-900x900.jpg,Abstract dinosaur model with distinctive plates and tail.,moderate,27 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03076-export-900x900.jpg,27,2,1.9801065,-0.43915406,0.3287568,0.6878705
Octahedron One,2,3915,0.0578897812787224,10,DSC03065-export-900x900.jpg,Mark Bolitho,https://origami-database.com/wp-content/uploads/DSC03065-export-900x900.jpg,Eight-sided shape.,moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03065-export-900x900.jpg,10,2,2.130034,0.15659703,0.29553714,0.18294673
DNA Wheel,2,3258,0.0309581980985753,16,DSC03063-export-1.jpg,Mark Bolitho,https://origami-database.com/wp-content/uploads/DSC03063-export-1.jpg,Circular wheel-like model created by flattening a DNA-like structure.,moderate,16 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03063-export-1.jpg,16,2,2.1390023,0.14888023,0.28352737,0.23287687
Vel’Koz,2,3578,0.0648332483628217,19,DSC03061-export-900x900.jpg,Weesel,https://origami-database.com/wp-content/uploads/DSC03061-export-900x900.jpg,Floating creature with single large eye and three tentacles.,moderate,19 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03061-export-900x900.jpg,19,2,1.8361647,0.010109966,0.046744652,0.6331139
Helmet,2,2828,0.034242374195772,21,DSC03054-export-900x900.jpg,Alexander Kurth,https://origami-database.com/wp-content/uploads/DSC03054-export-900x900.jpg,Pointed Corinthian helmet with open backside.,moderate,21 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03054-export-900x900.jpg,21,2,2.0504675,0.09375269,0.03673115,0.35858458
Five-Banded Armadillo,3,2726,0.043403948615579,110,DSC03190-export-900x900.jpg,John Szinger,https://origami-database.com/wp-content/uploads/DSC03190-export-900x900.jpg,Armadillo with large segmented shell and feet ending in three toes.,intermediate,1 hour 50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03190-export-900x900.jpg,110,3,2.9987373,-0.05194021,0.1093119,0.6581161
